channel_id,channel_title,subscribers,thumbnail,category,subscribers_numeric
UCvoKIJfodk4IhNAAjrBfx-g,Kel Lauren,382000,https://yt3.ggpht.com/iyz1IAbUrtuv8InvWtxfAPdhSLNkOwpQBrpFfYFCq4y3oAgoXmkBK-Ruwj5BXiKoLH8e2GA6Pw=s88-c-k-c0x00ffffff-no-rj,"Fashion, Lifestyle (sociology), Hobby",382000
UCiTnfugk85-N3Z3wstB72og,PhotoshopSurgeon,965000,https://yt3.ggpht.com/ytc/AIdro_mfdoyALsQfjrVwy0RyWOlMREs_7f8AEnoHyCdNXgkcgg=s88-c-k-c0x00ffffff-no-rj,"Entertainment, Lifestyle (sociology), Hobby",965000
UCJYrM8UrSLQv3qxfzRM_Lsg,Chicago Filmmakers,35,https://yt3.ggpht.com/ytc/AIdro_nTbKnlYrE8oo56KcROHQY5hJ25nvqrtEw2n7fupiihfA=s88-c-k-c0x00ffffff-no-rj,"Entertainment, Film",35
UCUvh07zWWnPiNW8zAurd3FA,Jane Stavrinoudis Piano,616,https://yt3.ggpht.com/PDzCt2mlIyT4d8rVbKMLD3sl_h1ToCPZgEb_z2MGz5L6O-_xtjV4PTssxLmGACMATEQAKgBYSi8=s88-c-k-c0x00ffffff-no-rj,"Classical music, Music, Knowledge",616
UCVQGtUcRjHTQLTTu-5s9_4Q,Brew,2310000,https://yt3.ggpht.com/ytc/AIdro_mz61vTTKVoRPGAc-EyIuJ94mDATIsq95mq84uHrQZNZlc=s88-c-k-c0x00ffffff-no-rj,Society,2310000
UCHnrVQpiUVm0z6gFZDyKFqg,Captain Famous,142,https://yt3.ggpht.com/ytc/AIdro_nvYnjOk-h1cjeHpP8ptuBfWFzUPWreBXmqqD_0VKPSGg=s88-c-k-c0x00ffffff-no-rj,Entertainment,142
UCbxQcz9k0NRRuy0ukgQTDQQ,AustinMcConnell,1440000,https://yt3.ggpht.com/ytc/AIdro_kVyfWd4o4WS5eaUQhz1yMKEtPhYl0g8_HMrLf9uQEdyl4=s88-c-k-c0x00ffffff-no-rj,"Film, Entertainment, Lifestyle (sociology)",1440000
UC1n_PfsVqxllCcnMPlxBIjw,Wilbur Soot,5350000,https://yt3.ggpht.com/ytc/AIdro_mL_oIw35hLPCJJ-EZythjxLQ5jVCcKyImhp5EXrGYJxuU=s88-c-k-c0x00ffffff-no-rj,"Role-playing video game, Video game culture, Action-adventure game, Simulation video game, Strategy video game, Action game",5350000
UCA3-nIYWu4PTWkb6NwhEpzg,Ryan Reynolds,4660000,https://yt3.ggpht.com/ytc/AIdro_nHbIprPEwBI4n-IaxeOHciupNN_ugEI8F5SW3AsiY14EI=s88-c-k-c0x00ffffff-no-rj,"Entertainment, Film",4660000
UC8aG3LDTDwNR1UQhSn9uVrw,SethBling,1980000,https://yt3.ggpht.com/ytc/AIdro_lgZnVTpLr0MxMaOsqIs-st-SFYBlHbACfg7IJeeEzRLg=s88-c-k-c0x00ffffff-no-rj,"Action-adventure game, Action game, Video game culture, Role-playing video game",1980000
